step_id,phase,gate,depends_on,site,resource,command_entry,inputs,outputs,acceptance,failure_action,status
P000,PREFLIGHT,PREFLIGHT,none,local,light_cpu,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/snapshot_local.ps1,bundled runtime|local tools,evidence/preimplementation/local_environment.json|evidence/preimplementation/local_environment.sha256.json|evidence/step_reviews/P000.json,local environment has a flat package inventory and the sidecar SHA256 receipt matches the snapshot bytes,repair local runtime access,pass
P010,PREFLIGHT,PREFLIGHT,P000,remote_login,light_cpu,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/snapshot_remote.ps1,new host login|Slurm inventory,evidence/preimplementation/remote_environment.json|evidence/step_reviews/P010.json,one bounded SSH snapshot succeeds without allocation,record blocked and do not repeat immediately,pass
P015,PREFLIGHT,PREFLIGHT,P010,local,light_cpu,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/prepare_environment_decision.ps1,environment snapshots|decision template,configs/environment_decision.lock.json,review file contains immutable snapshot hashes,do not overwrite an existing lock,pass
P020,PREFLIGHT,PREFLIGHT,P015,local,manual,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/validate_environment_decision.ps1,completed environment decision,evidence/preimplementation/environment_decision_validation.json,local and remote strategies are reviewed and contain no TBD,stop implementation and repair decision,pass
P025,PREFLIGHT,PREFLIGHT,P020,local,light_cpu,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/apply_local_environment_decision.ps1,validated local setup,evidence/preimplementation/local_environment_ready.json,selected absolute Python passes verification,repair or relock local environment,pass
I000,IMPLEMENT,IMPLEMENT,P025,local,implementation,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module pytest tests/test_package_import.py,implementation contract,package import receipt,new package imports without old-project modules,repair package scaffold,pass
I020,IMPLEMENT,IMPLEMENT,I000,local,implementation,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module pytest tests/test_data_contracts.py,artifact contract|minimal fixtures,data contract test receipt,manifest split seal and leakage tests pass,repair data modules,pass
I040,IMPLEMENT,IMPLEMENT,I020,local,implementation,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module pytest tests/test_models.py,minimal model configs|synthetic tensors,model test receipt,YOLO adapters T1 branches HGB and GRU pass forward tests,repair model modules,pass
I050,IMPLEMENT,IMPLEMENT,I040,local,implementation,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module pytest tests/test_episode_fusion.py,episode contract|synthetic episodes,fusion test receipt,mean logit reliability graph memory and controls pass,repair episode modules,pass
I070,IMPLEMENT,IMPLEMENT,I050,local,implementation,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module pytest tests/test_seal_release_and_artifacts.py tests/test_slurm_contracts.py,test seal|release|artifact|Slurm lifecycle contracts,governance and Slurm contract test receipt,prediction locks ACL hashes sbatch directives selected remote Python SIGTERM monitoring and per-action closeout contracts pass,repair governance or Slurm modules,pass
I080,IMPLEMENT,IMPLEMENT,I070,local,light_cpu,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module pytest tests/test_minimal_pipeline.py,minimal synthetic dataset,local integration receipt,complete tiny pipeline runs without full local extraction,repair integration path,pass
I090,IMPLEMENT,IMPLEMENT,I080,local,manual,powershell -NoProfile -ExecutionPolicy Bypass -File tools/preflight/run_selected_python.ps1 -Module mining1_exp.cli review-step --step I090,all implementation receipts,evidence/reviews/I090.json,review confirms every implementation requirement and no removed family exists,return to failed implementation step,pass
