family_id,package_id,claim_id,dataset_role,model_or_method,condition,target_ratio_percent,repeat_scheme,planned_trained_runs,execution_stage,result_role,reuses_family,selection_pool,calibration_pool,test_pool,required_output,status
D1-AUDIT,D1,C-DATA,all_retained_datasets,manifest_ontology_split,audit,NA,deterministic,0,G1,confirmatory_gate,none,NA,NA,NA,data_cards_and_hashes,not_run
D1-GRAPH,D1,C-GRAPH,paired_rgbt_eligibility,concept_modality_pair_provenance,audit,NA,deterministic,0,G1,conditional_eligibility_gate,D1-AUDIT,NA,NA,NA,graph_eligibility_lock,not_run
V2-PRE-GEN,V2,C-TRANSFER,generic_matched_source,yolov8n,generic_matched,NA,three_paired_train_seeds,3,G3,pretraining_initialization,none,D_b_sel,NA,NA,checkpoint_and_manifest,not_run
V2-PRE-SINGLE,V2,C-TRANSFER,single_coal_source,yolov8n,single_coal,NA,three_paired_train_seeds,3,G3,pretraining_initialization,none,D_b_sel,NA,NA,checkpoint_and_manifest,not_run
V2-PRE-MULTI,V2,C-TRANSFER,multi_coal_source,yolov8n,multi_coal,NA,three_paired_train_seeds,3,G3,pretraining_initialization,none,D_b_sel,NA,NA,checkpoint_and_manifest,not_run
V2-A-10-SCR,V2,C-TRANSFER,primary_visual_target,yolov8n,scratch,10,three_paired_train_seeds,3,G3,interpretive_control,none,D_b_sel,D_b_prob,D_b_te,predictions_and_metrics,not_run
V2-A-10-GEN,V2,C-TRANSFER,primary_visual_target,yolov8n,generic_matched,10,three_paired_train_seeds,3,G3,primary_control,V2-PRE-GEN,D_b_sel,D_b_prob,D_b_te,predictions_and_metrics,not_run
V2-A-10-SINGLE,V2,C-TRANSFER,primary_visual_target,yolov8n,single_coal,10,three_paired_train_seeds,3,G3,source_diversity_control,V2-PRE-SINGLE,D_b_sel,D_b_prob,D_b_te,predictions_and_metrics,not_run
V2-A-10-MULTI,V2,C-TRANSFER,primary_visual_target,yolov8n,multi_coal,10,three_paired_train_seeds,3,G3,confirmatory_primary,V2-PRE-MULTI,D_b_sel,D_b_prob,D_b_te,predictions_and_metrics,not_run
T1-VIS,T1,C-THERMAL,paired_rgbt_branch,visible_only,frozen_feature_generator,100,single_locked_seed,1,G2,branch_input_validity,none,D_b_sel,D_b_prob,D_b_te,predictions_calibration_and_metrics,not_run
